RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY %
394816,88,"Madison, WI",43.0731,-89.4012,1540,15,3.90%
395235,89,"Winston, NC",36.0999,-80.2442,1417,15,5.10%
394528,90,"Deltona, FL",28.9005,-81.2637,1609,12.5,1.80%
395143,91,"Syracuse, NY",43.0481,-76.1474,1575,15,5.90%
395006,92,"Provo, UT",40.2338,-111.6585,1505,15,1.30%
395160,93,"Toledo, OH",41.6528,-83.5379,1318,15,3.60%
395224,94,"Wichita, KS",37.6872,-97.3301,911,15,1.90%
394549,95,"Durham, NC",35.994,-78.8986,1586,15,0.40%
394352,96,"Augusta, GA",33.4735,-82.0105,1273,15,7.10%
394957,97,"Palm Bay, FL",28.0345,-80.5887,1673,12.5,0.50%
394711,98,"Jackson, MS",32.2988,-90.1848,1410,15,2.00%
394666,99,"Harrisburg, PA",40.2732,-76.8867,1316,15,3.70%
395113,100,"Spokane, WA",47.6588,-117.426,1460,15,2.40%
395075,101,"Scranton, PA",41.4089,-75.6624,1226,12.5,2.60%
394460,102,"Chattanooga, TN",35.0456,-85.3097,1333,15,-0.50%
394871,103,"Modesto, CA",37.6391,-120.9969,1738,15,4.20%
394768,104,"Lancaster, PA",40.0379,-76.3055,1295,12.5,4.90%
394997,105,"Portland, ME",43.6591,-70.2568,2229,15,6.10%
395245,106,"Youngstown, OH",41.0998,-80.6495,843,12.5,6.60%
394770,107,"Lansing, MI",42.7325,-84.5555,1276,12.5,7.10%
394590,108,"Fayetteville, AR",36.0822,-94.1719,1335,12.5,4.60%
394589,109,"Fayetteville, NC",35.0527,-78.8784,1315,12.5,3.80%
394792,110,"Lexington, KY",38.0406,-84.5037,1346,15,4.50%
394971,111,"Pensacola, FL",30.4213,-87.2169,1644,12.5,1.10%
395068,112,"Santa Rosa, CA",38.4405,-122.7144,2479,15,1.50%
395019,113,"Reno, NV",39.5296,-119.8138,1770,15,3.20%
394698,114,"Huntsville, AL",34.7304,-86.5861,1250,12.5,-1.90%
394995,115,"Port St. Lucie, FL",27.273,-80.3582,2077,12.5,4.00%
394761,116,"Lafayette, LA",30.2241,-92.0198,1257,12.5,4.40%
394898,117,"Myrtle Beach, SC",33.6891,-78.8867,1644,12.5,0.50%
395116,118,"Springfield, MO",37.2089,-93.2923,947,12.5,4.30%
395195,119,"Visalia, CA",36.3302,-119.2921,1366,12.5,5.10%
394746,120,"Killeen, TX",31.1171,-97.7278,1110,12.5,2.10%
394338,121,"Asheville, NC",35.5951,-82.5515,1593,12.5,-0.50%
