RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY
395115,85,"Springfield, MA",42.1015,-72.5898,1751,15.0,7.10%
845159,86,"Poughkeepsie, NY",41.7004,-73.921,1991,12.5,3.50%
394931,87,"Ogden, UT",41.223,-111.9738,1495,12.5,0.70%
394816,88,"Madison, WI",43.0731,-89.4012,1536,15.0,3.60%
395235,89,"Winston, NC",36.0999,-80.2442,1399,15.0,4.20%
394528,90,"Deltona, FL",28.9005,-81.2637,1596,12.5,0.90%
395143,91,"Syracuse, NY",43.0481,-76.1474,1532,15.0,5.80%
395006,92,"Provo, UT",40.2338,-111.6585,1510,15.0,1.60%
395160,93,"Toledo, OH",41.6528,-83.5379,1271,15.0,3.10%
395224,94,"Wichita, KS",37.6872,-97.3301,923,15.0,2.90%
394549,95,"Durham, NC",35.994,-78.8986,1543,15.0,-0.40%
394352,96,"Augusta, GA",33.4735,-82.0105,1285,15.0,6.00%
394957,97,"Palm Bay, FL",28.0345,-80.5887,1687,12.5,-0.20%
394711,98,"Jackson, MS",32.2988,-90.1848,1425,15.0,1.30%
394666,99,"Harrisburg, PA",40.2732,-76.8867,1310,15.0,3.40%
395113,100,"Spokane, WA",47.6588,-117.426,1438,15.0,1.20%
395075,101,"Scranton, PA",41.4089,-75.6624,1240,12.5,1.50%
394460,102,"Chattanooga, TN",35.0456,-85.3097,1327,15.0,-1.40%
394871,103,"Modesto, CA",37.6391,-120.9969,1724,15.0,4.70%
394768,104,"Lancaster, PA",40.0379,-76.3055,1310,12.5,4.30%
394997,105,"Portland, ME",43.6591,-70.2568,2234,15.0,7.30%
395245,106,"Youngstown, OH",41.0998,-80.6495,848,12.5,7.70%
394770,107,"Lansing, MI",42.7325,-84.5555,1429,12.5,6.10%
394590,108,"Fayetteville, AR",36.0822,-94.1719,1323,12.5,4.20%
394589,109,"Fayetteville, NC",35.0527,-78.8784,1344,12.5,4.20%
394792,110,"Lexington, KY",38.0406,-84.5037,1328,15.0,4.40%
394971,111,"Pensacola, FL",30.4213,-87.2169,1597,12.5,-0.30%
395068,112,"Santa Rosa, CA",38.4405,-122.7144,2472,15.0,2.10%
395019,113,"Reno, NV",39.5296,-119.8138,1770,15.0,4.00%
394698,114,"Huntsville, AL",34.7304,-86.5861,1246,12.5,-2.40%
